ONA_1:input 1/mode 1/transmission: Abs(TE transmission) vs wavelength

wavelength(nm), Abs(TE transmission)
1560.06, 0.297216
1560.06, 0.297131
1560.06, 0.297046
1560.06, 0.296962
1560.06, 0.296877
1560.06, 0.296792
1560.06, 0.296708
1560.06, 0.296623
1560.06, 0.296539
1560.06, 0.296454
1560.06, 0.29637
1560.06, 0.296286
1560.06, 0.296201
1560.06, 0.296117
1560.06, 0.296033
1560.06, 0.295949
1560.06, 0.295865
1560.06, 0.295781
1560.06, 0.295697
1560.06, 0.295613
1560.06, 0.295529
1560.06, 0.295445
1560.06, 0.295362
1560.06, 0.295278
1560.06, 0.295194
1560.05, 0.295111
1560.05, 0.295027
1560.05, 0.294944
1560.05, 0.29486
1560.05, 0.294777
1560.05, 0.294694
1560.05, 0.29461
1560.05, 0.294527
1560.05, 0.294444
1560.05, 0.294361
1560.05, 0.294278
1560.05, 0.294195
1560.05, 0.294112
1560.05, 0.294029
1560.05, 0.293946
1560.05, 0.293863
1560.05, 0.293781
1560.05, 0.293698
1560.05, 0.293615
1560.05, 0.293533
1560.05, 0.29345
1560.05, 0.293368
1560.05, 0.293285
1560.05, 0.293203
1560.05, 0.293121
1560.04, 0.293039
1560.04, 0.292956
1560.04, 0.292874
1560.04, 0.292792
1560.04, 0.29271
1560.04, 0.292628
1560.04, 0.292546
1560.04, 0.292464
1560.04, 0.292382
1560.04, 0.292301
1560.04, 0.292219
1560.04, 0.292137
1560.04, 0.292056
1560.04, 0.291974
1560.04, 0.291892
1560.04, 0.291811
1560.04, 0.29173
1560.04, 0.291648
1560.04, 0.291567
1560.04, 0.291486
1560.04, 0.291404
1560.04, 0.291323
1560.04, 0.291242
1560.04, 0.291161
1560.03, 0.29108
1560.03, 0.290999
1560.03, 0.290918
1560.03, 0.290837
1560.03, 0.290756
1560.03, 0.290676
1560.03, 0.290595
1560.03, 0.290514
1560.03, 0.290434
1560.03, 0.290353
1560.03, 0.290273
1560.03, 0.290192
1560.03, 0.290112
1560.03, 0.290031
1560.03, 0.289951
1560.03, 0.289871
1560.03, 0.289791
1560.03, 0.28971
1560.03, 0.28963
1560.03, 0.28955
1560.03, 0.28947
1560.03, 0.28939
1560.03, 0.28931
1560.03, 0.289231
1560.03, 0.289151
1560.02, 0.289071
1560.02, 0.288991
1560.02, 0.288912
1560.02, 0.288832
1560.02, 0.288753
1560.02, 0.288673
1560.02, 0.288594
1560.02, 0.288514
1560.02, 0.288435
1560.02, 0.288356
1560.02, 0.288276
1560.02, 0.288197
1560.02, 0.288118
1560.02, 0.288039
1560.02, 0.28796
1560.02, 0.287881
1560.02, 0.287802
1560.02, 0.287723
1560.02, 0.287644
1560.02, 0.287565
1560.02, 0.287486
1560.02, 0.287408
1560.02, 0.287329
1560.02, 0.28725
1560.02, 0.287172
1560.01, 0.287093
1560.01, 0.287015
1560.01, 0.286937
1560.01, 0.286858
1560.01, 0.28678
1560.01, 0.286702
1560.01, 0.286623
1560.01, 0.286545
1560.01, 0.286467
1560.01, 0.286389
1560.01, 0.286311
1560.01, 0.286233
1560.01, 0.286155
1560.01, 0.286077
1560.01, 0.285999
1560.01, 0.285922
1560.01, 0.285844
1560.01, 0.285766
1560.01, 0.285689
1560.01, 0.285611
1560.01, 0.285533
1560.01, 0.285456
1560.01, 0.285378
1560.01, 0.285301
1560, 0.285224
1560, 0.285146
1560, 0.285069
1560, 0.284992
1560, 0.284915
1560, 0.284838
1560, 0.284761
1560, 0.284684
1560, 0.284607
1560, 0.28453
1560, 0.284453
1560, 0.284376
1560, 0.284299
1560, 0.284223
1560, 0.284146
1560, 0.284069
1560, 0.283993
1560, 0.283916
1560, 0.28384
1560, 0.283763
1560, 0.283687
1560, 0.28361
1560, 0.283534
1560, 0.283458
1560, 0.283382
1559.99, 0.283306
1559.99, 0.283229
1559.99, 0.283153
1559.99, 0.283077
1559.99, 0.283001
1559.99, 0.282926
1559.99, 0.28285
1559.99, 0.282774
1559.99, 0.282698
1559.99, 0.282622
1559.99, 0.282547
1559.99, 0.282471
1559.99, 0.282395
1559.99, 0.28232
1559.99, 0.282244
1559.99, 0.282169
1559.99, 0.282093
1559.99, 0.282018
1559.99, 0.281943
1559.99, 0.281868
1559.99, 0.281792
1559.99, 0.281717
1559.99, 0.281642
1559.99, 0.281567
1559.99, 0.281492
1559.98, 0.281417
1559.98, 0.281342
1559.98, 0.281267
1559.98, 0.281192
1559.98, 0.281117
1559.98, 0.281043
1559.98, 0.280968
1559.98, 0.280893
1559.98, 0.280819
1559.98, 0.280744
1559.98, 0.280669
1559.98, 0.280595
1559.98, 0.280521
1559.98, 0.280446
1559.98, 0.280372
1559.98, 0.280298
1559.98, 0.280223
1559.98, 0.280149
1559.98, 0.280075
1559.98, 0.280001
1559.98, 0.279927
1559.98, 0.279853
1559.98, 0.279779
1559.98, 0.279705
1559.97, 0.279631
1559.97, 0.279557
1559.97, 0.279483
1559.97, 0.279409
1559.97, 0.279336
1559.97, 0.279262
1559.97, 0.279188
1559.97, 0.279115
1559.97, 0.279041
1559.97, 0.278968
1559.97, 0.278894
1559.97, 0.278821
1559.97, 0.278748
1559.97, 0.278674
1559.97, 0.278601
1559.97, 0.278528
1559.97, 0.278455
1559.97, 0.278382
1559.97, 0.278308
1559.97, 0.278235
1559.97, 0.278162
1559.97, 0.278089
1559.97, 0.278017
1559.97, 0.277944
1559.97, 0.277871
1559.96, 0.277798
1559.96, 0.277725
1559.96, 0.277653
1559.96, 0.27758
1559.96, 0.277507
1559.96, 0.277435
1559.96, 0.277362
1559.96, 0.27729
1559.96, 0.277218
1559.96, 0.277145
1559.96, 0.277073
1559.96, 0.277001
1559.96, 0.276928
1559.96, 0.276856
1559.96, 0.276784
1559.96, 0.276712
1559.96, 0.27664
1559.96, 0.276568
1559.96, 0.276496
1559.96, 0.276424
1559.96, 0.276352
1559.96, 0.27628
1559.96, 0.276208
1559.96, 0.276137
1559.96, 0.276065
1559.95, 0.275993
1559.95, 0.275921
1559.95, 0.27585
1559.95, 0.275778
1559.95, 0.275707
1559.95, 0.275635
1559.95, 0.275564
1559.95, 0.275493
1559.95, 0.275421
1559.95, 0.27535
1559.95, 0.275279
1559.95, 0.275208
1559.95, 0.275136
1559.95, 0.275065
1559.95, 0.274994
1559.95, 0.274923
1559.95, 0.274852
1559.95, 0.274781
1559.95, 0.27471
1559.95, 0.27464
1559.95, 0.274569
1559.95, 0.274498
1559.95, 0.274427
1559.95, 0.274357
1559.95, 0.274286
1559.94, 0.274215
1559.94, 0.274145
1559.94, 0.274074
1559.94, 0.274004
1559.94, 0.273933
1559.94, 0.273863
1559.94, 0.273793
1559.94, 0.273722
1559.94, 0.273652
1559.94, 0.273582
1559.94, 0.273512
1559.94, 0.273442
1559.94, 0.273371
1559.94, 0.273301
1559.94, 0.273231
1559.94, 0.273161
1559.94, 0.273092
1559.94, 0.273022
1559.94, 0.272952
1559.94, 0.272882
1559.94, 0.272812
1559.94, 0.272743
1559.94, 0.272673
1559.94, 0.272603
1559.93, 0.272534
1559.93, 0.272464
1559.93, 0.272395
1559.93, 0.272325
1559.93, 0.272256
1559.93, 0.272186
1559.93, 0.272117
1559.93, 0.272048
1559.93, 0.271979
1559.93, 0.271909
1559.93, 0.27184
1559.93, 0.271771
1559.93, 0.271702
1559.93, 0.271633
1559.93, 0.271564
1559.93, 0.271495
1559.93, 0.271426
1559.93, 0.271357
1559.93, 0.271288
1559.93, 0.27122
1559.93, 0.271151
1559.93, 0.271082
1559.93, 0.271013
1559.93, 0.270945
1559.93, 0.270876
1559.92, 0.270808
1559.92, 0.270739
1559.92, 0.270671
1559.92, 0.270602
1559.92, 0.270534
1559.92, 0.270465
1559.92, 0.270397
1559.92, 0.270329
1559.92, 0.270261
1559.92, 0.270193
1559.92, 0.270124
1559.92, 0.270056
1559.92, 0.269988
1559.92, 0.26992
1559.92, 0.269852
1559.92, 0.269784
1559.92, 0.269716
1559.92, 0.269649
1559.92, 0.269581
1559.92, 0.269513
1559.92, 0.269445
1559.92, 0.269378
1559.92, 0.26931
1559.92, 0.269242
1559.92, 0.269175
1559.91, 0.269107
1559.91, 0.26904
1559.91, 0.268972
