ONA_1:input 1/mode 1/transmission: Re(TE transmission) vs wavelength

wavelength(nm), Re(TE transmission)
1560.06, 0.153348
1560.06, 0.153351
1560.06, 0.153353
1560.06, 0.153355
1560.06, 0.153358
1560.06, 0.15336
1560.06, 0.153362
1560.06, 0.153365
1560.06, 0.153367
1560.06, 0.153369
1560.06, 0.153372
1560.06, 0.153374
1560.06, 0.153376
1560.06, 0.153379
1560.06, 0.153381
1560.06, 0.153383
1560.06, 0.153385
1560.06, 0.153388
1560.06, 0.15339
1560.06, 0.153392
1560.06, 0.153395
1560.06, 0.153397
1560.06, 0.153399
1560.06, 0.153402
1560.06, 0.153404
1560.05, 0.153406
1560.05, 0.153408
1560.05, 0.153411
1560.05, 0.153413
1560.05, 0.153415
1560.05, 0.153418
1560.05, 0.15342
1560.05, 0.153422
1560.05, 0.153424
1560.05, 0.153427
1560.05, 0.153429
1560.05, 0.153431
1560.05, 0.153433
1560.05, 0.153436
1560.05, 0.153438
1560.05, 0.15344
1560.05, 0.153442
1560.05, 0.153445
1560.05, 0.153447
1560.05, 0.153449
1560.05, 0.153451
1560.05, 0.153454
1560.05, 0.153456
1560.05, 0.153458
1560.05, 0.15346
1560.04, 0.153462
1560.04, 0.153465
1560.04, 0.153467
1560.04, 0.153469
1560.04, 0.153471
1560.04, 0.153474
1560.04, 0.153476
1560.04, 0.153478
1560.04, 0.15348
1560.04, 0.153482
1560.04, 0.153485
1560.04, 0.153487
1560.04, 0.153489
1560.04, 0.153491
1560.04, 0.153493
1560.04, 0.153496
1560.04, 0.153498
1560.04, 0.1535
1560.04, 0.153502
1560.04, 0.153504
1560.04, 0.153506
1560.04, 0.153509
1560.04, 0.153511
1560.04, 0.153513
1560.03, 0.153515
1560.03, 0.153517
1560.03, 0.153519
1560.03, 0.153522
1560.03, 0.153524
1560.03, 0.153526
1560.03, 0.153528
1560.03, 0.15353
1560.03, 0.153532
1560.03, 0.153534
1560.03, 0.153537
1560.03, 0.153539
1560.03, 0.153541
1560.03, 0.153543
1560.03, 0.153545
1560.03, 0.153547
1560.03, 0.153549
1560.03, 0.153552
1560.03, 0.153554
1560.03, 0.153556
1560.03, 0.153558
1560.03, 0.15356
1560.03, 0.153562
1560.03, 0.153564
1560.03, 0.153566
1560.02, 0.153569
1560.02, 0.153571
1560.02, 0.153573
1560.02, 0.153575
1560.02, 0.153577
1560.02, 0.153579
1560.02, 0.153581
1560.02, 0.153583
1560.02, 0.153585
1560.02, 0.153587
1560.02, 0.153589
1560.02, 0.153592
1560.02, 0.153594
1560.02, 0.153596
1560.02, 0.153598
1560.02, 0.1536
1560.02, 0.153602
1560.02, 0.153604
1560.02, 0.153606
1560.02, 0.153608
